Image,Actual,Relationship
Recep_Tayyip_Erdogan_0004.jpg,Abdullah_Gul,errata
Anja_Paerson_0001.jpg,Janica_Kostelic,errata
Janica_Kostelic_0001.jpg,Anja_Paerson,errata
Bart_Hendricks_0001.jpg,Ricky_Ray,errata
Carlos_Beltran_0001.jpg,Raul_Ibanez,errata
Emmy_Rossum_0001.jpg,Eva_Amurri,errata
Michael_Schumacher_0008.jpg,Rubens_Barrichello,errata
Mahmoud_Abbas_0012.jpg,Hamad_Bin_Isa_al-Khalifa,errata
Jim_OBrien_0002.jpg,Jim_OBrien_2,errata
Jim_OBrien_0003.jpg,Jim_OBrien_2,errata
John_Gruden_0001.jpg,Jon_Gruden,errata
Elisabeth_Schumacher_0001.jpg,Elizabeth_Schumacher,errata
Andrew_Gilligan_0001.jpg,Andrew_Caldecott,errata
Nora_Bendijo_0002.jpg,Flor_Montulo,errata
Flor_Montulo_0002.jpg,Nora_Bendijo,errata
Yingfan_Wang_0001.jpg,Wang_Yingfan,errata
Wang_Nan_0001.jpg,Nan_Wang,errata
Talisa_Soto_0001.jpg,Talisa_Bratt,errata
Shinya_Taniguchi_0001.jpg,Takahiro_Mori,errata
Sung_Hong_Choi_0001.jpg,Choi_Sung-hong,errata
Martha_Bowen_0002.jpg,Gabrielle_Rose,errata
Carlos_Ruckauf_0001.jpg,Eduardo_Duhalde,errata
Claire_Hentzen_0001.jpg,Morgan_Hentzen,errata
Claire_Hentzen_0002.jpg,Morgan_Hentzen,errata
