id,type
Aaron_Eckhart,person
Aaron_Guiel,person
Aaron_Patterson,person
Aaron_Peirsol,person
Aaron_Pena,person
Aaron_Sorkin,person
Aaron_Tippin,person
Abba_Eban,person
Abbas_Kiarostami,person
Abdel_Aziz_Al-Hakim,person
Abdel_Madi_Shabneh,person
Abdel_Nasser_Assidi,person
Abdoulaye_Wade,person
Abdul_Majeed_Shobokshi,person
Abdul_Rahman,person
Abdulaziz_Kamilov,person
Abdullah,person
Abdullah_Ahmad_Badawi,person
Abdullah_al-Attiyah,person
Abdullah_Gul,person
Abdullah_Nasseef,person
Abdullatif_Sener,person
Abel_Aguilar,person
Abel_Pacheco,person
Abid_Hamid_Mahmud_Al-Tikriti,person
Abner_Martinez,person
Abraham_Foxman,person
Aby_Har-Even,person
Adam_Ant,person
Adam_Freier,person
Adam_Herbert,person
Adam_Kennedy,person
Adam_Mair,person
Adam_Rich,person
Adam_Sandler,person
Adam_Scott,person
Adel_Al-Jubeir,person
Adelina_Avila,person
Adisai_Bodharamik,person
Adolfo_Aguilar_Zinser,person
Adolfo_Rodriguez_Saa,person
Adoor_Gopalakarishnan,person
Adrian_Annus,person
Adrian_Fernandez,person
Adrian_McPherson,person
Adrian_Murrell,person
Adrian_Nastase,person
Adriana_Lima,person
Adriana_Perez_Navarro,person
Adrianna_Zuzic,person
Adrien_Brody,person
Afton_Smith,person
Agbani_Darego,person
Agnelo_Queiroz,person
Agnes_Bruckner,person
Ahmad_Jbarah,person
Ahmad_Masood,person
Ahmed_Ahmed,person
Ahmed_Chalabi,person
Ahmed_Ghazi,person
Ahmed_Ibrahim_Bilal,person
Ahmed_Lopez,person
Ahmed_Qureia,person
Ahmet_Demir,person
Ahmet_Necdet_Sezer,person
Ai_Sugiyama,person
Aicha_El_Ouafi,person
Aidan_Quinn,person
Aileen_Riggin_Soule,person
Ain_Seppik,person
Ainsworth_Dyer,person
Aishwarya_Rai,person
Aitor_Gonzalez,person
Aiysha_Smith,person
AJ_Cook,person
AJ_Lamas,person
Ajit_Agarkar,person
Akbar_Al_Baker,person
Akbar_Hashemi_Rafsanjani,person
Akhmed_Zakayev,person
Akiko_Morigami,person
Akmal_Taher,person
Al_Cardenas,person
Al_Davis,person
Al_Gore,person
Al_Leiter,person
Al_Pacino,person
Al_Sharpton,person
Alain_Cervantes,person
Alain_Ducasse,person
Alan_Ball,person
Alan_Dershowitz,person
Alan_Dreher,person
Alan_Greenspan,person
Alan_Greer,person
Alan_Jackson,person
Alan_Mulally,person
Alan_Stonecipher,person
Alan_Tang_Kwong-wing,person
Alan_Trammell,person
Alan_Zemaitis,person
Alanis_Morissette,person
Alanna_Ubach,person
Alastair_Campbell,person
Alastair_Johnston,person
Albaro_Recoba,person
Albert_Brooks,person
Albert_Costa,person
Albert_Montanes,person
Albert_Pujols,person
Alberta_Lee,person
Alberto_Acosta,person
Alberto_Fujimori,person
Alberto_Gonzales,person
Alberto_Ruiz_Gallardon,person
Alberto_Sordi,person
Albrecht_Mentz,person
Aldo_Paredes,person
Alec_Baldwin,person
Alecos_Markides,person
Alejandro_Atchugarry,person
Alejandro_Avila,person
Alejandro_Fernandez,person
Alejandro_Gonzalez_Inarritu,person
Alejandro_Lembo,person
Alejandro_Lerner,person
Alejandro_Lopez,person
Alejandro_Toledo,person
Alek_Wek,person
Aleksander_Kwasniewski,person
Aleksander_Voloshin,person
Alessandra_Cerna,person
Alessandro_Nesta,person
Alex_Barros,person
Alex_Cabrera,person
Alex_Cejka,person
Alex_Corretja,person
Alex_Ferguson,person
Alex_Gonzalez,person
Alex_Holmes,person
Alex_King,person
Alex_Penelas,person
Alex_Popov,person
Alex_Sink,person
Alex_Wallau,person
Alex_Zanardi,person
Alexa_Loren,person
Alexa_Vega,person
Alexander_Downer,person
Alexander_Losyukov,person
Alexander_Lukashenko,person
Alexander_Payne,person
Alexander_Rumyantsev,person
Alexandra_Jackson,person
Alexandra_Pelosi,person
Alexandra_Rozovskaya,person
Alexandra_Spann,person
Alexandra_Stevenson,person
Alexandra_Vodjanikova,person
Alexandre_Daigle,person
Alexandre_Despatie,person
Alexandre_Herchcovitch,person
Alexandre_Vinokourov,person
Alexis_Bledel,person
Alexis_Dennisoff,person
Alfonso_Cuaron,person
Alfonso_Portillo,person
Alfonso_Soriano,person
Alfred_Ford,person
Alfred_Sant,person
Alfredo_di_Stefano,person
Alfredo_Moreno,person
Alfredo_Pena,person
Ali_Abbas,person
Ali_Abdullah_Saleh,person
Ali_Adbul_Karim_Madani,person
Ali_Ahmeti,person
Ali_Bin_Hussein,person
Ali_Fallahian,person
Ali_Hammoud,person
Ali_Khamenei,person
Ali_Mohammed_Maher,person
Ali_Naimi,person
Alice_Fisher,person
Alicia_Hollowell,person
Alicia_Keys,person
Alicia_Molik,person
Alicia_Silverstone,person
Alicia_Witt,person
Alimzhan_Tokhtakhounov,person
Alina_Kabaeva,person
Aline_Chretien,person
Alisha_Richman,person
Alison_Krauss,person
Alison_Lohman,person
Alistair_MacDonald,person
Allan_Houston,person
Allan_Kemakeza,person
Allan_Wagner,person
Allen_Iverson,person
Allen_Rock,person
Allison_Janney,person
Allison_Searing,person
Ally_Sheedy,person
Allyson_Felix,person
Alma_Powell,person
Almeida_Baptista,person
Alonzo_Mourning,person
Alvaro_Noboa,person
Alvaro_Silva_Calderon,person
Alvaro_Uribe,person
Aly_Wagner,person
Alyse_Beaupre,person
Alyson_Hannigan,person
Amanda_Beard,person
Amanda_Bynes,person
Amanda_Coetzer,person
Amanda_Marsh,person
Amanda_Plumer,person
Amber_Frey,person
Amber_Tamblyn,person
Ambrose_Lee,person
Amelia_Vega,person
Amelie_Mauresmo,person
Amer_al-Saadi,person
Amporn_Falise,person
Amr_Moussa,person
Amram_Mitzna,person
Amy_Brenneman,person
Amy_Cotton,person
Amy_Gale,person
Amy_Pascal,person
Amy_Redford,person
Amy_Smart,person
Amy_Yasbeck,person
Ana_Claudia_Talancon,person
Ana_Guevara,person
Ana_Isabel_Sanchez,person
Ana_Palacio,person
Ana_Paula_Gerard,person
Ana_Sebastiao,person
Anastasia_Kelesidou,person
Anastasia_Myskina,person
Anatoliy_Kinakh,person
Anders_Ebbeson,person
Anders_Fogh_Rasmussen,person
Anderson_Varejao,person
Andre_Agassi,person
Andre_Bucher,person
Andre_Lange,person
Andre_Smith,person
Andre_Techine,person
Andrea_Bocelli,person
Andrea_De_Cruz,person
Andrea_Kiser,person
Andrea_Yates,person
Andreas_Vinciguerra,person
Andrei_Konchalovsky,person
Andrei_Mikhnevich,person
Andrei_Nikolishin,person
Andres_DAlessandro,person
Andres_Manuel_Lopez_Obrador,person
Andres_Pastrana,person
Andrew_Bernard,person
Andrew_Bunner,person
Andrew_Caldecott,person
Andrew_Cuomo,person
Andrew_Fastow,person
Andrew_Firestone,person
Andrew_Gilligan,person
Andrew_Jarecki,person
Andrew_Luster,person
Andrew_Niccol,person
Andrew_Sabey,person
Andrew_Shutley,person
Andrew_Weissmann,person
Andrew_Wetzler,person
Andrzej_Tyszkiewicz,person
Andy_Benes,person
Andy_Bryant,person
Andy_Dick,person
Andy_Garcia,person
Andy_Graves,person
Andy_Griffith,person
Andy_Griggs,person
Andy_Hebb,person
Andy_Lau,person
Andy_Madikians,person
Andy_North,person
Andy_Perez,person
Andy_Roddick,person
Andy_Rooney,person
Andy_Warhol,person
Andy_Wisecarver,person
Anette_Hosoi,person
AnFernce_Negron,person
Angel_Lockward,person
Angel_Maza,person
Angela_Alvarado_Rosa,person
Angela_Bassett,person
Angela_Lansbury,person
Angela_Mascia-Frye,person
Angela_Merkel,person
Angelica_Romero,person
Angelina_Jolie,person
Angelo_Genova,person
Angelo_Reyes,person
Angie_Arzola,person
Angie_Martinez,person
Anibal_Ibarra,person
Anil_Ramsook,person
Anita_DeFrantz,person
Anja_Paerson,person
Anjum_Hussain,person
Ann_Godbehere,person
Ann_Landers,person
Ann_Morgan,person
Ann_Veneman,person
Anna_Chicherova,person
Anna_Faris,person
Anna_Jones,person
Anna_Kournikova,person
Anna_Nicole_Smith,person
Anne_Cavers,person
Anne_Donovan,person
Anne_Heche,person
Anne_Krueger,person
Anne_McLellan,person
Anne_ONeil,person
Anneli_Jaatteenmaki,person
Annette_Bening,person
Annette_Lu,person
Annie-Jeanne_Reynaud,person
Annie_Chaplin,person
Annie_Machon,person
Annika_Sorenstam,person
Antanas_Valionis,person
Anthony_Carter,person
Anthony_Corso,person
Anthony_Ervin,person
Anthony_Fauci,person
Anthony_Garotinho,person
Anthony_Hazen,person
Anthony_Hopkins,person
Anthony_LaPaglia,person
Anthony_Lee_Johnson,person
Anthony_Mazur,person
Anthony_Pico,person
Anthony_Pisciotti,person
Anthony_Principi,person
Anthony_Rackauckas,person
Anthony_Scott_Miller,person
Antje_Buschschulte,person
Anton_Balasingham,person
Antonio_Banderas,person
Antonio_Bernardo,person
Antonio_Cassano,person
Antonio_Catania,person
Antonio_Elias_Saca,person
Antonio_Palocci,person
Antonio_Trillanes,person
Antony_Leung,person
Antwun_Echols,person
Anwar_Ibrahim,person
Anzori_Kikalishvili,person
Aparna_Pillai,person
Aram_Adler,person
Arantxa_Sanchez-Vicario,person
Aretha_Franklin,person
Ari_Bousbib,person
Ari_Fleischer,person
Arianna_Huffington,person
Arie_Haan,person
Ariel_Sharon,person
Arif_Mardin,person
Arlen_Specter,person
Armand_Sargen,person
Armando_Avila_Panchame,person
Armando_Calderon_Sol,person
Armando_Carrillo,person
Arminio_Fraga,person
Arnaud_Clement,person
Arnaud_Lagardere,person
Arnie_Boehm,person
Arnold_Palmer,person
Arnold_Schwarzenegger,person
Arnold_Scott,person
Arnoldo_Aleman,person
Aron_Ralston,person
Arsinee_Khanjian,person
Art_Cooper,person
Art_Hoffmann,person
Art_Howe,person
Art_Lopez,person
Arthur_Johnson,person
Arthur_Martinez,person
Artieas_Shanks,person
Arturo_Gatti,person
Arye_Mekel,person
Asa_Hutchinson,person
Ascencion_Barajas,person
Ashanti,person
Ashlea_Talbot,person
Ashley_Judd,person
Ashley_Olsen,person
Ashley_Postell,person
Ashraf_Alasmar,person
Ashraf_Ghani,person
Ashton_Kutcher,person
Asif_Ali_Zardari,person
Asif_Hanif,person
Askar_Akayev,person
Asmaa_Assad,person
Assad_Ahmadi,person
Astou_Ndiaye-Diatta,person
Astrid_Betancourt,person
Astrid_Eyzaguirre,person
Atal_Bihari_Vajpayee,person
Ataollah_Mohajerani,person
Atiabet_Ijan_Amabel,person
Atom_Egoyan,person
Atsushi_Sato,person
Audrey_Lacroix,person
Audrey_Sauret,person
Augustin_Calleri,person
Augusto_Pinochet,person
Augusto_Roa_Bastos,person
Aung_San_Suu_Kyi,person
Austin_Kearns,person
Avril_Lavigne,person
Azmi_Bishara,person
Azra_Akin,person
Babe_Ruth,person
Baburam_Bhattari,person
Bak_Chang-Ryun,person
Barbara_Bach,person
Barbara_Becker,person
Barbara_Bodine,person
Barbara_Boxer,person
Barbara_Brezigar,person
Barbara_De_Brun,person
Barbara_Esbin,person
Barbara_Felt-Miller,person
Barbara_Roberts,person
Barbara_Walters,person
Barbora_Strycova,person
Barbra_Streisand,person
Barrett_Jackman,person
Barry_Alvarez,person
Barry_Bonds,person
Barry_Collier,person
Barry_Diller,person
Barry_Ford,person
Barry_Hinson,person
Barry_Nakell,person
Barry_Switzer,person
Barry_Williams,person
Barry_Zito,person
Bart_Freundlich,person
Bart_Hendricks,person
Bartosz_Kizierowski,person
Barzan_al-Tikriti,person
Basdeo_Panday,person
Bashar_Assad,person
Baz_Luhrmann,person
BB_King,person
Beatrice_Dalle,person
Beatriz_Merino,person
Beecher_Ray_Kirby,person
Begum_Khaleda_Zia,person
Bela_Karolyi,person
Ben_Affleck,person
Ben_Betts,person
Ben_Braun,person
Ben_Broussard,person
Ben_Cahoon,person
Ben_Chandler,person
Ben_Cohen,person
Ben_Curtis,person
Ben_Davis,person
Ben_Glisan,person
Ben_Howland,person
Ben_Kingsley,person
Ben_Lee,person
Ben_Stein,person
Ben_Wallace,person
Benazir_Bhutto,person
Benedita_da_Silva,person
Benicio_Del_Toro,person
Benito_Santiago,person
Benjamin_Bratt,person
Benjamin_Franklin,person
Benjamin_Martinez,person
Benjamin_McKenzie,person
Benjamin_Netanyahu,person
Benjamin_Neulander,person
Bernadette_Peters,person
Bernard_Ebbers,person
Bernard_Giraudeau,person
Bernard_Kerik,person
Bernard_Landry,person
Bernard_Law,person
Bernard_Lord,person
Bernard_Siegel,person
Bernardo_Segura,person
Bernice_Wong,person
Bertie_Ahern,person
Bertrand_Bonello,person
Bertrand_Delanoe,person
Beth_Blough,person
Beth_Jones,person
Betsy_Coffin,person
Betsy_Smith,person
Bettina_Rheims,person
Betty_Garrison,person
Betty_Williams,person
Beyonce_Knowles,person
Bianca_Jagger,person
Bijan_Darvish,person
Bijan_Namdar_Zangeneh,person
Bilal_Erdogan,person
Biljana_Plavsic,person
Bill_Belichick,person
Bill_Bradley,person
Bill_Butler,person
Bill_Byrne,person
Bill_Callahan,person
Bill_Carmody,person
Bill_Cartwright,person
Bill_Clancy,person
Bill_Clinton,person
Bill_Curry,person
Bill_Doba,person
Bill_Duffey,person
