label,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37,e38,e39,e40,e41,e42,e43,e44,e45,e46,e47,e48,e49,e50,e51,e52,e53,e54,e55,e56,e57,e58,e59,e60,e61,e62,e63,e64,e65,e66,e67,e68,e69,e70,e71,e72,e73,e74,e75,e76,e77,e78,e79,e80,e81,e82,e83,e84,e85,e86,e87,e88,e89,e90,e91,e92,e93,e94,e95,e96,e97,e98,e99,e100,e101,e102,e103,e104,e105,e106,e107,e108,e109,e110,e111,e112,e113,e114,e115,e116,e117,e118,e119,e120,e121,e122,e123,e124,e125,e126,e127,e128
1,0.036616452,-0.020291239,0.062783539,-0.142050564,-0.030239902,0.017180443,0.066412196,0.028096665,-0.050556943,0.084697992,0.056356177,-0.029512323,-0.043229751,0.135151923,0.119917452,0.015293106,-0.026028451,-0.061699066,0.080236882,-0.152037054,-0.091380924,0.282448888,-0.13734524,-0.069061562,-0.114497647,0.15709208,0.093959495,0.105602294,0.104425706,0.008804196,-0.154638186,-0.035727415,-0.096417435,-0.02478393,0.002956708,0.086810105,0.037189938,-0.087781385,0.104735538,0.234742671,-0.047826286,0.073191084,-0.093663506,-0.07537128,0.066517591,0.15723221,-0.069474891,-0.03124715,0.023329254,-0.10709095,0.040963169,0.148414731,-0.14092283,0.074707739,-0.021350456,0.02455754,0.029134812,0.044652797,-0.10712526,0.253099382,0.045607291,-0.046425149,0.011393834,0.053216033,-0.024922632,-0.109169118,0.077679805,0.071290009,0.186520085,0.120493144,0.063579172,0.038712975,0.028339289,0.061579168,0.023043472,0.003081473,-0.053922527,0.071782187,-0.046972606,-0.159826741,0.206559569,0.099565819,0.058994889,0.023999806,-0.018545458,-0.044070378,0.089201853,-0.044597488,-0.084512338,0.047380142,0.021980789,0.037804063,-0.023998696,0.087745972,0.00470292,0.030299891,0.062082909,-0.165205017,0.141788647,0.112137422,-0.034499668,0.067169994,-0.04357579,-0.05898001,-0.018733753,-0.030258106,-0.038427442,-0.118486866,-0.079886861,0.023063915,0.076792449,-0.072362095,0.016120084,-0.023449045,0.02360736,0.054970026,0.079321913,-0.048775744,-0.102104865,-0.120758653,0.056097664,-0.070693828,0.117577344,-0.000475338,0.014584228,0.038175475,-0.03508395,0.022101039
1,0.040686883,-0.035778161,-0.104732312,-0.184370682,0.03259531,-0.049787957,0.029494518,-0.076608792,0.004789109,0.098572992,0.053369787,0.004929192,0.075190783,0.203555837,0.076464258,0.092497744,0.042192623,-0.003366213,0.065283097,-0.113665253,-0.028045658,0.240301862,-0.128962994,-0.161255211,-0.088406399,0.232370913,0.097238101,0.061863765,0.059716843,0.163669437,-0.136808395,0.134171292,0.037424453,-0.019367013,0.050508548,0.0437597,0.142595246,-0.005964541,0.224302709,0.065709569,-0.065853976,0.043483712,0.066390149,0.005752342,0.041475244,0.091750197,-0.036050573,0.013180967,0.043625072,-0.182004884,0.011876896,0.011722818,-0.059134781,0.094745524,0.002211346,0.051646497,-0.017875275,0.032466076,-0.136710361,0.156826943,0.032059114,-0.159976438,0.058142994,0.074922323,-0.019504283,-0.018034818,-0.029884756,0.156497732,0.199426472,-0.063157789,0.040278584,-0.060030349,-0.033293754,-0.102768607,-0.023564953,0.028241873,-0.022958247,-0.025590254,-0.080201827,-0.149791285,0.226032212,0.124533467,0.027692378,0.049865276,-0.032972876,-0.037923165,0.079774745,-0.046138715,-0.00203109,0.054470986,-0.023782732,-0.04277565,-0.072566152,0.089125782,-0.015575584,0.058904357,-0.039830774,-0.066531241,0.117707789,0.067158312,0.011151626,0.007613762,0.0161849,-0.008924158,-0.041347314,-0.04611687,-0.088279076,-0.068357199,-0.071392372,0.009377733,0.024863584,-0.146192342,-0.087794915,0.024826054,0.017155197,0.009107622,0.027937654,-0.061728761,-0.108074769,-0.130344898,0.122023456,-0.031633176,0.141833112,0.013135342,-0.006794608,-0.038544398,-0.037370954,0.020205548
1,-0.037320849,-0.019890845,-0.064903706,-0.179581001,0.00196063,-0.107090965,-5.09E-05,-0.037747215,-0.09674754,0.165309474,-0.028655993,-0.026467707,0.065881841,0.236051232,0.152352497,0.016526401,0.116382241,-0.059403382,0.225707293,-0.094566643,-0.119063586,0.187942341,-0.101730287,-0.084571131,-0.048133947,0.196864039,0.122506671,0.089643404,0.076248139,0.131100208,-0.134317935,-0.004155627,0.090104967,-0.0860897,0.036540851,0.008669067,0.136939794,-0.026083687,0.137077689,0.067464404,-0.073583134,0.041607764,0.075671151,-0.025305834,0.025186075,0.175893724,-0.003669187,0.00408413,0.052948438,-0.207700923,0.043631576,-0.021969406,0.045173533,0.015723651,0.002694738,0.081961654,0.004269909,0.041706253,-0.045504902,0.141265064,0.057445645,-0.081868634,-0.058821511,0.078371733,0.000975855,0.022964474,-0.010572006,0.075112469,0.146108001,-0.167457432,0.012411465,-0.072549909,-0.054650396,-0.118011199,0.057357118,0.101793088,-0.0277001,-0.004820982,0.042371385,-0.093211539,0.14864184,0.036510341,0.038792923,0.094018996,0.054503359,-0.087164886,0.032197479,-0.048249032,0.001940439,0.017061288,-0.110573433,0.061879095,0.042348772,0.095625184,-0.030775314,0.014309398,0.028599547,-0.036377426,0.114655256,0.007216748,0.00361763,0.057777584,0.054720815,-0.054985359,-0.129011735,-0.044198148,-0.050020229,-0.119237132,-0.06561546,0.031802494,0.083824337,-0.178153589,-0.014346653,-0.033058979,-0.085935757,0.023951899,-0.009770636,-0.044910748,-0.169182062,-0.119612724,0.050324041,-0.095238827,0.006616389,-0.059522424,-0.06017036,0.042417943,-0.119542174,0.004629848
1,0.066222094,-0.015177852,-0.042699054,-0.127380401,0.033427436,0.012026498,-0.008830979,-0.009240247,-0.095093645,0.10182558,0.032191169,-0.056738254,0.001782718,0.099436209,0.10367126,0.146071389,0.002107825,-0.065402381,0.141292945,-0.138899893,0.026709041,0.211609751,-0.051847581,-0.190464139,-0.01351292,0.203432396,0.098746479,-0.018345762,0.087838076,0.075433031,-0.131295353,0.084293015,-0.028988222,-0.016779272,0.036529366,0.04309725,0.084303252,-0.066853285,0.221950039,0.080401011,-0.076297663,-0.012923196,0.004626121,-0.042117611,0.065751418,0.21334292,0.005145069,-0.027202219,-0.036370974,-0.171036676,0.053882055,0.151236221,-0.060339313,0.072753936,-0.011277872,-0.005371447,0.145024836,-0.071152449,-0.090709284,0.163640186,0.100658663,-0.129197836,-0.00106427,0.061428621,0.01956665,-0.099776454,-0.024729256,0.178701267,0.273151428,0.074593008,-0.008380887,0.044391733,-0.093854122,-0.100243509,-0.011466946,0.022311196,-0.037825413,0.094015442,-0.090400003,-0.054241296,0.16874519,0.101913176,0.049768291,0.073484145,-0.02851375,-0.00940653,0.059479382,-0.004486148,-0.056950841,0.024525622,0.001402753,0.081477687,-0.140092015,0.128406182,-0.062345769,0.050516814,0.054871731,-0.014774829,0.120502822,0.019989807,0.033824559,0.017120013,-0.01552336,-0.014058814,0.010616201,-0.078269109,-0.054536,-0.000935241,-0.025789177,0.012192853,-0.009490999,-0.107460663,-0.066049814,-0.06373217,0.097874172,0.047631264,-0.004327113,-0.098646164,-0.11173021,-0.083533175,0.085224718,0.014818397,0.177884489,0.00910314,0.012121341,-0.006082659,0.034209352,0.061455298
1,0.015269084,0.043633215,0.037987176,-0.166941717,0.083613232,-0.029315501,-0.065875441,-0.015486329,-0.012182516,0.049929991,-0.003593362,-0.088819973,-0.023101661,0.134304926,0.069385864,0.123620212,0.033536583,-0.012495821,0.03567405,-0.056224581,0.029949689,0.257685393,-0.013113862,-0.151789367,-0.080352858,0.060490731,0.042756852,0.142146319,0.149006546,0.050932471,-0.130420506,-0.018091552,0.017165905,-0.033101346,0.064947754,0.075810716,0.109480143,-0.079010762,0.117482744,0.079453938,-0.123647369,0.08401192,0.015015163,-0.121325955,0.085676804,0.212768793,-0.019557819,0.053274099,0.026761955,-0.019582298,-0.02564472,0.174222022,-0.097694926,0.078397684,-0.046659093,-0.051331285,0.149042696,-0.14474085,-0.123270325,0.137539789,0.107264727,0.011667907,-0.052142333,0.108143739,-0.070797957,-0.1229873,-0.023164777,0.148667276,0.197876036,0.099991716,0.06044136,-0.002403429,-0.017666461,-0.057340022,0.00273785,0.055533096,-0.030411813,0.091224067,-0.020601526,-0.166091025,0.234260827,0.182692185,0.029484248,0.152583718,0.077741198,0.038879294,-0.051230479,0.065834925,-0.035829365,0.103547275,0.050968412,0.074156351,-0.09353596,0.149281308,-0.001630808,-0.017853709,-0.033917483,0.032335848,0.019158157,0.028145533,0.089348309,0.003852069,-0.022610061,-0.081992485,0.022268763,-0.016576873,-0.014511186,-0.090142787,0.040231384,0.073989786,0.011417899,-0.128770187,0.004971738,0.05921508,-0.006772325,0.053398512,0.029175457,-0.014131661,-0.168938205,-0.076712728,0.01956005,0.045337416,0.134149879,-0.016810147,-0.066049553,0.002560906,0.022941049,0.026468212
1,0.036177561,0.056802958,0.0114023,-0.140831545,0.026567331,0.028002856,-0.032528818,-0.148758247,-0.089031167,0.064442635,0.020945948,-0.018758327,-0.033899035,0.076842979,0.092981651,0.044277925,-0.095192023,-0.024873981,0.050861597,-0.057242204,-0.131432354,0.267339945,-0.076996543,-0.147445813,-0.091612458,0.149944276,0.066936068,0.124677725,0.065110929,0.058859836,-0.184177309,0.056381281,-0.038139205,-0.004620313,0.094655581,0.072888575,0.091260694,-0.136756882,0.176433533,0.055871435,-0.04981276,-0.064636655,0.043422885,-0.089029513,0.01685499,0.224807799,0.011514945,0.111613847,-0.082578078,-0.000717324,-0.005160499,0.118743561,-0.02848839,0.079668581,-0.00253972,-0.037989482,0.025020124,-0.053858273,-0.150618732,0.169314325,0.039010387,0.056704484,0.065548934,0.100979738,-0.059707612,0.039813709,-0.02034213,0.085710645,0.098716222,0.04556904,-0.000295554,-0.047739636,0.004801006,0.040616751,0.052446958,0.011023192,-0.032822184,-0.066930994,0.006079003,-0.102249734,0.31415987,0.099625953,-0.011962594,0.045115642,-0.01862549,0.019004967,-0.052607331,-0.027523778,-0.050412163,0.210315526,0.123804502,0.031126603,-0.043993883,0.158485308,-0.09602882,0.031480506,-0.026828066,-0.034708187,0.152626902,-0.028262164,0.08185564,0.034255318,-0.021703511,-0.116863728,0.016116414,0.02958495,-0.01077338,-0.000339253,-0.069177777,0.113528371,0.127559945,-0.061019979,0.034528352,0.013485989,-0.044143375,-0.009429992,0.016843647,0.056669649,-0.052883867,-0.096172586,0.119904205,-0.112288751,0.173829362,-0.038781624,-0.018786464,0.031250518,0.049010821,-0.027321856
1,-0.020144504,0.127306908,0.083575942,-0.209537074,0.007606719,-0.095207177,0.04349849,-0.02916849,-0.076842926,0.035670724,0.015038286,-0.058741923,-0.008953979,0.165044501,0.115402177,0.035444919,-0.021452777,-0.059881911,0.059992146,-0.126504734,-0.038101286,0.269057274,-0.132739007,-0.114121385,-0.031564951,0.140928745,0.10150297,0.174324229,0.179784581,0.109538011,-0.184407443,-0.084986068,0.037678596,-0.022114499,0.064508677,-0.039185736,0.156469017,-0.009883169,0.171539024,0.103089064,-0.027256653,0.049625069,0.153513223,0.002592921,0.023251893,0.189082086,0.042682603,-0.05439518,-0.065571725,-0.125418857,-0.028693769,0.054546606,-0.077817991,0.116517536,0.006860342,0.035657898,-0.009950376,0.039830994,-0.137687102,0.10192965,0.048706397,-0.08034227,0.007293873,0.145460889,-0.044251502,0.04466163,-0.022240616,0.017055122,0.136502191,-0.07737305,0.049445223,-0.076013178,0.015647305,-0.032492869,0.14737089,0.052396052,-0.062322769,0.008180796,0.014226662,-0.1372426,0.212270737,0.124498636,0.082251661,0.130759925,0.02475613,-0.008972435,0.011953793,-0.031470016,-0.03981277,0.106311768,0.024471005,-0.054874934,-0.060246106,0.044488955,-0.030785726,-0.039259654,-0.033194903,0.007255548,0.123637788,0.022442104,-0.077646367,0.050135013,0.069211327,-0.002787073,-0.11864768,0.003867469,-0.032357022,0.044570182,-0.031999294,-0.072244391,0.146210179,-0.143476054,-0.089942493,0.070123717,-0.047511801,0.015505455,0.005401214,-0.017014654,-0.116520584,-0.126383111,0.074083351,-0.011688674,0.036076654,-0.013811401,-0.032833625,0.006755346,-0.016783783,-0.004133241
1,0.043024648,0.083446756,0.054471392,-0.177584767,0.045079261,0.039581709,-0.112035684,-0.01092171,-0.105380401,0.031754363,-0.025370969,-0.141261011,-0.02272751,0.073231399,0.130367905,0.060573623,0.03610573,-0.032403268,0.024213491,-0.040266503,-0.063810073,0.232340485,0.021235729,-0.124643512,-0.053647641,-0.028006481,0.079371087,0.164406493,0.102208503,-0.030121112,-0.09445551,-0.090384796,-0.003705653,-0.017105563,0.078848012,0.075406142,0.047316886,-0.156395763,0.062951416,0.029786246,-0.126091912,-0.022381438,-0.017471785,-0.097486109,0.080230623,0.309998572,-0.034589842,0.142826021,-0.131517813,0.043921746,-0.042804435,0.155856863,-0.002221181,-0.012822095,-0.140010849,-0.075099818,0.063252293,-0.124528825,-0.074278265,0.115597077,0.074942835,0.149030313,-0.057216477,0.09436477,-0.086749889,-0.029770613,-0.044348549,0.147943825,0.054244459,0.061936837,0.035234153,-0.083818689,-0.038167045,-0.11781659,0.015888358,0.060313575,-0.020257844,-0.006020321,0.052119218,-0.04691967,0.217606366,0.027411724,-0.047325898,0.07307408,0.036677402,0.055779878,-0.139640704,-0.028064467,-0.069340989,0.211193979,0.098389119,0.07192824,-0.080820173,0.20098035,-0.041762725,0.045139764,-0.013465258,0.010935107,-0.002370587,-0.048710901,0.132516056,0.044839527,-0.060631737,-0.137929872,-0.01134781,0.026029175,-0.00056317,-0.046690702,0.016145425,0.062858142,0.122970738,-0.07514292,0.062313478,0.044161845,-0.046715945,0.028605815,-0.087183885,0.077626474,-0.079750925,-0.021000264,-4.89E-05,-0.097391047,0.077032492,-0.010369678,0.025329296,-0.005202217,0.040758289,-0.080769919
1,0.023447085,-0.01761052,0.043601133,-0.20457378,0.009381484,-0.036624454,0.001291512,-0.035139907,-0.111444786,0.137397081,0.030460183,-0.051788874,0.031825654,0.100373127,0.192507952,0.053012326,-0.007087486,-0.068868071,0.108335197,-0.0928666,-0.109250575,0.292524457,-0.114728555,-0.094800368,-0.087897465,0.234791487,0.105334304,0.079990163,0.147782102,0.041590001,-0.124858417,0.025789836,-0.038161524,-0.002473596,0.066891648,0.046490364,0.10608273,-0.056916069,0.217983618,0.110050835,-0.040691376,-0.037909951,-0.026074758,-0.043963227,0.047309708,0.189650968,-0.037870307,0.09139704,-0.014867549,-0.143467411,9.44E-05,0.081963807,-0.039895292,0.029079989,-0.045726355,-0.001816799,0.013664666,0.006962194,-0.136310935,0.202536985,0.045620255,-0.058637451,0.004129723,0.141634822,-0.049902085,-0.012098354,0.020629168,0.10266836,0.185784608,-0.063515753,-0.024155349,-0.042431626,-0.043773796,-0.003953628,0.05052961,-0.030134423,-0.050665088,0.021531617,0.039971523,-0.04263141,0.273463547,0.06366308,0.042307544,0.047610853,0.027443729,-0.083651282,0.059805986,-0.01157451,-0.045458771,0.088900164,0.062225327,0.094336964,-0.023142556,0.172822654,-0.092043683,0.030434243,0.004126233,-0.0917698,0.126846611,-0.0097555,0.02678458,0.03583768,-0.039309725,-0.05848828,-0.009263548,-0.035960484,-0.019152146,-0.063567027,0.013875352,0.054358177,0.1118358,-0.07166446,-0.044555873,0.009615222,-0.01703253,0.027009355,-0.011869528,-0.029519472,-0.14683637,-0.114109986,0.088947043,-0.078013197,0.089337736,0.000321214,-0.054364946,0.006672641,-0.054666799,-0.019275593
1,0.068472356,-0.065886848,-0.130860269,-0.13188073,-0.06046772,-0.016295906,-0.024718478,-0.030719947,-0.097300969,0.123539045,0.027936479,-0.064287469,0.110517256,0.174245864,0.088226765,0.087695405,0.059250135,-0.011577393,0.14324744,-0.086262345,-0.04100379,0.143181488,-0.073577769,-0.190274164,-0.126718566,0.231805459,0.039510638,-0.059778433,-0.010686887,0.104759268,-0.153389633,0.187790588,0.019747522,-0.035132166,0.062929228,0.068893254,0.114712939,0.019432463,0.185823485,0.008022585,-0.146286801,-0.01750589,-0.024302967,-0.036767673,0.075818963,0.179693624,0.006866862,0.015131288,-0.082212485,-0.183091328,0.008673943,0.009888669,0.034064494,0.082343601,-0.033954922,0.028008694,0.062801696,-0.050859246,-0.031979401,0.101040967,0.094726242,-0.068765655,0.01051623,0.028451195,0.004245535,0.007922289,0.010921899,0.180502057,0.219976947,-0.077444531,-0.010763596,-0.110966735,-0.073668592,-0.124828756,-0.067479923,0.004123021,-0.041062962,-0.055253308,-0.036846831,-0.085657574,0.15094468,0.039841678,-0.1027411,-0.06407214,-0.049403604,0.016034914,0.018896626,-0.118225537,-0.003360862,0.055064127,0.005569091,0.027999436,-0.037231583,0.092585288,-0.052797284,0.122647665,0.036836725,-0.024013216,0.113201447,0.047582213,0.062979296,0.038185533,-0.010800073,-0.047800813,-0.025367476,-0.048585184,-0.069479838,-0.055938143,-0.093701497,0.036363505,-0.011988049,-0.134615511,-0.045612596,-0.141874224,0.041109104,0.018056143,-0.017051922,-0.140910387,-0.054546468,-0.164769366,0.073316559,-0.087553456,0.187765658,0.026750172,0.054535359,-0.053890795,-0.005461951,-0.004683597
